cns5_id,gj_id,component_id,n_components,primary_flag,gj_system_primary,gaia_edr3_id,hip_id,ra,dec,epoch,coordinates_bibcode,parallax,parallax_error,parallax_bibcode,pmra,pmra_error,pmdec,pmdec_error,pm_bibcode,rv,rv_error,rv_bibcode,g_mag,g_mag_error,bp_mag,bp_mag_error,rp_mag,rp_mag_error,g_mag_from_hip,g_mag_from_hip_error,g_rp_from_hip,g_rp_from_hip_error,g_mag_resulting,g_mag_resulting_error,g_rp_resulting,g_rp_resulting_error,g_rp_resulting_flag,j_mag,j_mag_error,h_mag,h_mag_error,k_mag,k_mag_error,jhk_mag_bibcode,w1_mag,w1_mag_error,w2_mag,w2_mag_error,w3_mag,w3_mag_error,w4_mag,w4_mag_error,wise_mag_bibcode
2894,11680,,,0,,3974526181252628480,,176.96936825712953,17.71043762986392,2016.0,2020yCat.1350....0G,40.917776632080546,0.59202695,2020yCat.1350....0G,140.2365665460446,0.5209628939628601,-149.02287196005798,0.3862953186035156,2020yCat.1350....0G,,,,13.621697,0.007502050277862611,14.987332,0.0018300917057202932,12.119599,0.0009537790802558903,,,,,13.621697,0.007502050277862611,1.2322047932013027,0.0024390428830342414,0,10.406,0.021,9.893,0.023,9.609,0.021,2003yCat.2246....0C,9.375,0.022,9.197,0.02,9.076,0.034,8.489,,2014yCat.2328....0C
2907,11689,,,0,,3974692997781566080,,177.82527446149368,18.489342935572335,2016.0,2020yCat.1350....0G,40.29692793643116,0.030897405,2020yCat.1350....0G,106.72465541170712,0.022758586332201958,-79.80516175714837,0.017282841727137566,2020yCat.1350....0G,,,,12.240981,0.0005277662302459012,13.604443,0.002201190453358988,11.089738,0.0009377904175325008,,,,,12.240981,0.0005277662302459012,1.1498604882832655,0.002722992890033782,0,9.53,0.018,8.965,0.015,8.747,0.02,2003yCat.2246....0C,8.559,0.023,8.437,0.019,8.3,0.022,8.125,0.249,2014yCat.2328....0C
2742,419,,,0,,,54872,168.52671705003638,20.524033817154162,1991.25,2007A&A...474..653V,55.81999969482422,0.25,2007A&A...474..653V,143.42,0.30000001192092896,-129.88,0.20999999344348907,2007A&A...474..653V,,,,,,,,,,2.556694401505559,0.08191097527742386,0.11177690202911705,0.13113095742293152,2.5566945,0.08191097527742386,0.11177690202911705,0.13113095742293152,2,,,,,,,,,,,,,,,,
2798,427,,,0,,3978879594463300992,,171.04909306103758,21.359804540978555,2016.0,2020yCat.1350....0G,68.08264901112905,0.031345267,2020yCat.1350....0G,-1037.89859423324,0.032390423119068146,-17.107494410049725,0.030281856656074524,2020yCat.1350....0G,,,,14.124891,0.0004884409521926435,14.28668,0.0014843868986021591,13.829387,0.0014592375827878403,,,,,14.124891,0.0004884409521926435,0.2971407264031966,0.002454135038615894,0,13.574,0.024,13.42,0.026,13.399,0.034,2003yCat.2246....0C,13.329,0.05,13.393,0.055,12.41,,8.621,,2014yCat.2328....0C
2698,11575,,,0,,3995235242243230208,,165.97283415531615,24.294744371280164,2016.0,2020yCat.1350....0G,44.723350529230615,0.03926809,2020yCat.1350....0G,-532.2394722216272,0.040905486792325974,-409.33096642288535,0.0327255055308342,2020yCat.1350....0G,,,,14.945771,0.0009153469697856808,17.236807,0.009705319896096146,13.572146,0.0018714239120958766,,,,,14.945771,0.0009153469697856808,1.3784233977912377,0.009969225734445175,0,11.43,0.022,10.831,0.022,10.502,0.018,2003yCat.2246....0C,10.277,0.023,10.081,0.02,9.85,0.048,8.569,,2014yCat.2328....0C
2743,3651,,,0,,3997075206232885888,54906,168.63764182700731,25.71060296527337,2016.0,2020yCat.1350....0G,46.41187594412021,0.025139317,2020yCat.1350....0G,-107.47537234006985,0.026118366047739983,48.76961530834446,0.025468498468399048,2020yCat.1350....0G,-1.388234257698059,0.3459378480911255,2020yCat.1350....0G,7.526765,0.0002509433794527006,7.9503927,0.0011067347070294483,6.934046,0.0011312422115900456,,,,,7.526765,0.0002509433794527006,0.5914678428567667,0.002048065099801932,0,6.203,0.023,5.821,0.017,5.734,0.018,2003yCat.2246....0C,,,,,,,,,
2780,11617,,,0,,3994104184084389504,,170.37178831381314,25.523445223117964,2016.0,2020yCat.1350....0G,40.32859579173972,0.049890067,2020yCat.1350....0G,-235.72769197684403,0.04112410917878151,-228.87596945640016,0.041351575404405594,2020yCat.1350....0G,,,,12.999188,0.0008711176502629927,14.507802,0.0025105452524958475,11.806407,0.0011939590288692534,,,,,12.999188,0.0008711176502629927,1.1953333766212284,0.0030689372146474178,0,10.161,0.022,9.642,0.023,9.382,0.015,2003yCat.2246....0C,9.227,0.023,9.04,0.019,8.868,0.031,8.115,,2014yCat.2328....0C
2788,11623,B,2,0,3657,,,170.7314292,25.8411052,2000.0,2014yCat.2328....0C,66.30000305175781,2.3,2019ApJS..240...19K,-980.0999755859375,1.2000000476837158,-312.0,0.800000011920929,2019ApJS..240...19K,,,,,,,,,,,,,,,,,,,16.67,0.09,16.64,0.11,16.55,0.12,2011ApJS..197...19K,16.087,0.061,14.096,0.044,12.05,,8.783,,2014yCat.2328....0C
2789,3657,A,2,1,,3994492865736279552,,170.77821306233525,25.892131174971883,2016.0,2020yCat.1350....0G,61.65199535291936,0.07466437,2020yCat.1350....0G,-1010.9189478234742,0.07339242845773697,-323.1269772683679,0.06841674447059631,2020yCat.1350....0G,,,,13.542875,0.0009003383932763425,15.450058,0.00464730388359406,12.2235365,0.0011832536391941564,,,,,13.542875,0.0009003383932763425,1.3035313810649012,0.004968653998935189,0,10.294,0.02,9.745,0.017,9.459,0.022,2003yCat.2246....0C,9.23,0.022,9.03,0.02,8.898,0.034,8.818,0.431,2014yCat.2328....0C
2823,9365,,,0,,3980560507224374400,56238,172.927987345748,22.667285749077646,2016.0,2020yCat.1350....0G,63.25585181580789,0.023153123,2020yCat.1350....0G,-584.6632692428016,0.019759463146328926,32.818514798942964,0.0173775814473629,2020yCat.1350....0G,-5.288939476013184,0.18032212555408478,2020yCat.1350....0G,9.469826,0.0006151912182855732,10.514905,0.0016682132276080862,8.457805,0.0009108674141518027,,,,,9.469826,0.0006151912182855732,1.0146126595292189,0.0023027407189977296,0,7.171,0.03,6.545,0.044,6.322,0.017,2003yCat.2246....0C,6.242,0.093,6.044,0.034,6.118,0.016,5.961,0.049,2014yCat.2328....0C
2940,11711,,,0,,3999645142864600320,,179.99547577394742,21.08317534451559,2016.0,2020yCat.1350....0G,49.59310945108581,0.049491785,2020yCat.1350....0G,-118.9899692859417,0.045892439782619476,-213.5136614411746,0.03580128401517868,2020yCat.1350....0G,,,,14.853554,0.00060882736630115,17.161688,0.005794076742322561,13.484129,0.0011462213420644685,,,,,14.853554,0.00060882736630115,1.3771305229713782,0.006047739136315925,0,11.417,0.022,10.921,0.021,10.641,0.016,2003yCat.2246....0C,10.442,0.023,10.217,0.02,10.069,0.06,8.681,,2014yCat.2328....0C
2912,11694,,,0,,4004600401251919488,,178.1752452857562,24.635698169461516,2016.0,2020yCat.1350....0G,45.57300484974474,0.14815156,2020yCat.1350....0G,-468.06747637227517,0.14461442828178406,37.74403048821889,0.13162489235401154,2020yCat.1350....0G,18.0,,2011AJ....141...97W,17.581789,0.0018497970533931237,20.489801,0.15827946896927175,16.024403,0.003721047337336214,,,,,17.581789,0.0018497970533931237,1.5573863983154297,0.004155471384264222,1,13.027,0.023,12.26,0.023,11.776,0.021,2003yCat.2246....0C,11.443,0.023,11.234,0.021,10.867,0.112,8.819,,2014yCat.2328....0C
2913,3691,,,0,,4004586348119642240,,178.23977721633167,24.479688541188125,2016.0,2020yCat.1350....0G,59.676962792693224,0.025529092,2020yCat.1350....0G,-316.08339626114497,0.022330304607748985,79.69565669803163,0.019172420725226402,2020yCat.1350....0G,,,,13.041905,0.0004720942078934285,14.834185,0.00270195995448961,11.769423,0.0008121482856046163,,,,,13.041905,0.0004720942078934285,1.2719208006939353,0.003106472667427804,0,9.937,0.022,9.308,0.018,9.016,0.015,2003yCat.2246....0C,8.804,0.023,8.645,0.02,8.468,0.024,8.674,0.506,2014yCat.2328....0C
2232,11309,,,0,,685103912857072640,,135.09564332221345,21.8320625969277,2016.0,2020yCat.1350....0G,157.33766154755847,0.06346977,2020yCat.1350....0G,-514.9422462994559,0.05746421962976456,-592.2533979775626,0.04512626305222511,2020yCat.1350....0G,8.6,,2018A&A...612A..49R,13.413064,0.0007171205717563775,16.35116,0.007911204215694726,11.9515915,0.001365291575626467,,,,,13.413064,0.0007171205717563775,1.461472511291504,0.001542168279051542,1,9.436,0.02,8.836,0.023,8.437,0.021,2003yCat.2246....0C,8.215,0.024,8.023,0.02,7.795,0.02,7.931,0.226,2014yCat.2328....0C
2272,11333,,,0,,686895567054724736,,137.28285355974828,22.794476785131057,2016.0,2020yCat.1350....0G,39.74736714454616,0.22956616,2020yCat.1350....0G,-83.6701853825157,0.19563505053520203,-70.50277107769845,0.16838978230953217,2020yCat.1350....0G,,,,13.664688,0.0005891883392352772,15.574402,0.002854011471600374,12.367789,0.0013723498998613319,,,,,13.664688,0.0005891883392352772,1.2995787663913876,0.0034232624392056096,0,10.474,0.023,9.915,0.032,9.616,0.018,2003yCat.2246....0C,9.382,0.022,9.203,0.019,8.986,0.032,8.201,,2014yCat.2328....0C
